Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Highway To Hell";AC/DC;1979;0;0;2011-05-31;Hard/Metal,Rock
"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap
"Love Is An Open Door";Frozen;2013;1;0;2014-03-31;"TV & movie soundtrack,Pop,Duet"
"Need You Now";"Lady Antebellum";2009;0;0;2011-05-30;Country
"Tears In Heaven";"Eric Clapton";1992;0;0;2007-05-29;Blues,Folk
Diamonds;Rihanna;2012;0;0;2012-12-06;Pop,Electro,Soul
Clown;Soprano;2015;0;0;2015-06-08;"French pop,Rap,Electro"
"You're The One That I Want";Grease;1978;1;0;2008-08-25;"Rock 'n Roll,TV & movie soundtrack,Duet"
"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet"
"A Whole New World";Aladdin;1992;1;0;2015-03-24;"TV & movie soundtrack,Duet,Love"
"Femme libérée";"Cookie Dingler";1984;0;0;2014-04-22;"French pop"
"Turn The Page";"Bob Seger";1976;0;0;2011-05-31;Rock
"Hey Jude";"The Beatles";1968;0;0;2007-06-05;Rock,Pop
"Wrecking Ball";"Miley Cyrus";2013;0;0;2013-09-26;"Pop,Teen pop"
Christine;"Christine And The Queens";2014;0;0;2015-06-07;Pop,Electro
"Can You Feel The Love Tonight";"Elton John";1994;0;0;2015-06-11;"TV & movie soundtrack,Soft rock,Pop"
"Sous le vent";Garou;2000;1;0;2013-01-18;"French pop,Duet"
"Total Eclipse Of The Heart";"Bonnie Tyler";1983;0;0;2011-05-30;"Soft rock"
"Counting Stars";OneRepublic;2013;0;0;2013-07-17;Pop,Rock
Superstition;"Stevie Wonder";1972;0;0;2007-05-04;Funk
"Call Me Maybe";"Carly Rae Jepsen";2011;0;0;2012-06-04;"Pop,Dance,Teen pop"
Celebration;"Kool And The Gang";1980;0;0;2007-05-31;Funk,Disco
"Under The Boardwalk";"The Drifters";1960;0;0;2011-05-31;Oldies,Rock
