Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Billie Jean";"Michael Jackson";1982;0;0;2011-05-31;Disco,Pop
"Take Me Home, Country Roads";"John Denver";1971;0;0;2011-05-31;Country
Hello;"Lionel Richie";1984;0;0;2012-02-02;"Love,Soft rock"
"Les démons de minuit";Images;1986;0;0;2013-06-15;"French pop,80s"
"Time Warp";"The Rocky Horror Show";1973;0;0;2011-05-31;Musical,Rock
"(Sittin' On) The Dock Of The Bay";"Otis Redding";1968;0;0;2012-02-02;Soul
"White Christmas (Duet with Shania Twain)";"Michael Bublé";2011;1;0;2011-11-22;Christmas,Duet,Jazz
"Have You Ever Seen The Rain?";"Creedence Clearwater Revival";1970;0;0;2011-05-31;Folk
Titanium;"David Guetta";2011;0;0;2012-05-09;Pop,Electro
"Cups (You're Gonna Miss Me When I'm Gone)";"Pitch Perfect";2013;0;0;2013-05-22;"TV & movie soundtrack,Folk,Pop,Musical"
"Killing Me Softly";"The Fugees";1996;0;0;2007-05-04;R&B,Rap
"Les sardines";"Patrick Sébastien";2006;0;0;2014-02-07;"French pop"
"Feeling Good";"Michael Bublé";2006;0;0;2008-05-20;Jazz
"When I Was Your Man";"Bruno Mars";2012;0;0;2013-01-07;Pop
"The Gambler";"Johnny Brady";2014;0;0;2015-10-19;Country
Angels;"Robbie Williams";1997;0;0;2007-05-04;Pop,Rock
"Just Give Me A Reason";Pink;2012;1;0;2012-11-29;"Pop,Duet,Soft rock"
"Silent Night";"Christmas Carol";1818;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Joy To The World";"Christmas Carol";1839;0;0;2011-05-30;Christmas,Traditionnal
"Wrecking Ball";"Miley Cyrus";2013;0;0;2013-09-26;"Pop,Teen pop"
"Je veux";Zaz;2010;0;0;2012-09-19;"French pop"
"Johnny B. Goode";"Chuck Berry";1958;0;0;2012-01-04;"Rock 'n Roll,Oldies"
"You're The One That I Want";Grease;1978;1;0;2008-08-25;"Rock 'n Roll,TV & movie soundtrack,Duet"
Emmenez-moi;"Charles Aznavour";1967;0;0;2011-07-29;"French pop"
"Hey Jude";"The Beatles";1968;0;0;2007-06-05;Rock,Pop
"Get Lucky";"Daft Punk";2013;0;0;2013-04-30;Disco,Funk
"My Heart Will Go On";"Postmodern Jukebox";2015;0;0;2015-10-23;"Pop,Rock 'n Roll"
"El perdón";"Nicky Jam";2015;1;0;2015-06-04;Pop,Latin,Duet
"Stille Nacht, Heilige Nacht";"Christmas Carol";1818;0;0;2008-06-26;Christmas,Traditionnal,Kids
"Femme libérée";"Cookie Dingler";1984;0;0;2014-04-22;"French pop"
"I Put A Spell On You";"Annie Lennox";2015;0;0;2015-04-07;"Blues,TV & movie soundtrack"
"Lean On";"Major Lazer";2015;0;0;2015-06-15;Dance,Electro,Pop,Rap
"Barbie Girl";Aqua;1997;1;0;2008-02-07;"Dance,Teen pop,Duet"
"A Whole New World";Aladdin;1992;1;0;2015-03-24;"TV & movie soundtrack,Duet,Love"
"Let Her Go";Passenger;2012;0;0;2012-12-14;Folk,Pop
Summertime;"Ella Fitzgerald";1960;0;0;2008-05-06;Jazz,Soul
"Wonderful Tonight";"Eric Clapton";1977;0;0;2007-12-27;Folk,Rock
September;"Earth, Wind & Fire";1978;0;0;2008-07-23;Disco,Funk
"Drag Me Down";"One Direction";2015;0;0;2015-09-22;"Teen pop,Pop"
"If I Ain't Got You";"Alicia Keys";2004;0;0;2007-06-25;Soul,Jazz
"Color Gitano";"Kendji Girac";2014;0;0;2014-08-07;"French pop,Latin"
Wannabe;"Spice Girls";1996;0;0;2013-10-18;"Pop,Teen pop"
"Hit The Road Jack";"Ray Charles";1960;0;0;2007-05-04;"Blues,Rock 'n Roll,Soul"
"Before He Cheats";"Carrie Underwood";2006;0;0;2007-12-27;Country,Pop,Rock
Diamonds;Rihanna;2012;0;0;2012-12-06;Pop,Electro,Soul
"I'm Yours";"Jason Mraz";2008;0;0;2008-08-18;"Pop,Soft rock"
"Hold Back The River";"James Bay";2014;0;0;2014-12-12;Pop,Rock
"Turn The Page";"Bob Seger";1976;0;0;2011-05-31;Rock
"Me And Bobby McGee";"Janis Joplin";1971;0;0;2011-05-31;Rock,Blues,Country
"Auf uns";"Andreas Bourani";2014;0;0;2014-12-24;Pop,Rock
"Twinkle Twinkle Little Star";"Nursery Rhyme";1806;0;0;2008-06-26;Kids,Traditionnal
"Honey I'm Good";"Andy Grammer";2014;0;0;2015-05-12;Pop
Sugar;"Robin Schulz";2015;0;0;2015-09-28;Electro,Dance
"Ice Ice Baby";"Vanilla Ice";1990;0;0;2011-05-30;Rap
Fever;"Peggy Lee";1958;0;0;2008-05-05;Jazz,Oldies
"Tears In Heaven";"Eric Clapton";1992;0;0;2007-05-29;Blues,Folk
Tandem;Shy'm;2015;0;0;2015-10-29;"French pop,80s,Electro"
"J'ai encore rêvé d'elle";"Il était une fois";1975;1;0;2012-02-07;"French pop,Duet,Love"
Manhattan-Kaboul;Renaud;2002;1;0;2013-10-08;"French pop,Duet"
"Rockin' Around The Christmas Tree";"Brenda Lee";1964;0;0;2007-11-16;Christmas,Pop,Rock
Homeless;"Marina Kaye";2014;0;0;2015-04-21;Pop,Dance
Radioactive;"Imagine Dragons";2013;0;0;2013-02-08;Alternative,Rock,Electro
"(I've Had) The Time Of My Life";"Dirty Dancing";1987;1;0;2007-10-19;"TV & movie soundtrack,Love,Duet"
"Mama's Broken Heart";"Miranda Lambert";2011;0;0;2012-03-18;Country
"On écrit sur les murs";"Demis Roussos";1989;0;0;2015-01-29;"French pop"
"Mag ik dan bij jou";"Jeroen van der Boom";2015;0;0;2015-07-21;"Schlager,Soft rock"
"I Got You Babe";"Sonny and Cher";1965;1;0;2007-05-04;Pop,Duet,Love
"Les sunlights des tropiques";"Gilbert Montagné";1985;0;0;2012-01-02;"French pop,80s"
"See You Again";"Wiz Khalifa";2015;1;0;2015-06-18;"Pop,Rap,TV & movie soundtrack,Duet"
Pontoon;"Little Big Town";2012;0;0;2012-07-27;Country
"The First Cut Is The Deepest";"Derek Ryan";2015;0;0;2015-10-23;"Country,Soft rock"
"Give Me One Reason";"Tracy Chapman";1995;0;0;2007-07-25;"Blues,Soft rock"
Supergirl;"Alle Farben";2015;0;0;2015-06-23;Dance,Electro
"Magic In The Air";"Magic System";2014;0;0;2014-05-22;"Dance,French pop,Zouk/Creole"
"The Christmas Song (Chestnuts Roasting)";"Christmas Carol";1846;0;0;2012-09-06;Christmas,Traditionnal,Jazz
Y.M.C.A.;"Village People";1975;0;0;2011-05-30;Pop
"Need You Now";"Lady Antebellum";2009;0;0;2011-05-30;Country
"I See Fire";"Ed Sheeran";2013;0;0;2013-11-22;"Folk,TV & movie soundtrack"
"Somewhere Over The Rainbow";"Judy Garland";1939;0;0;2011-05-31;"Musical,TV & movie soundtrack"
Santeria;Sublime;1996;0;0;2011-11-28;Reggae,Rock
"I Am A Man Of Constant Sorrow";"Soggy Bottom Boys";2002;0;0;2007-05-04;"Country,TV & movie soundtrack"
