Title;Artist;Year;Duo;Explicit;"Date Added";Styles
"Titanium (Acoustic)";"David Guetta";2012;0;0;2013-03-26;Pop
"Une belle histoire";"Michel Fugain";1972;0;0;2011-05-30;"French pop"
Cendrillon;Téléphone;1982;0;0;2011-12-30;"French pop,Rock"
"Feeling Good";"Nina Simone";1965;0;0;2011-05-31;Jazz,Blues
"We Are The World";"USA For Africa";1985;0;0;2008-05-06;Pop
"I Put A Spell On You";"Annie Lennox";2015;0;0;2015-04-07;"Blues,TV & movie soundtrack"
Everything;"Michael Bublé";2007;0;0;2007-05-11;"Pop,Soft rock"
"Every Breath You Take";"The Police";1983;0;0;2007-06-06;Pop,Rock
"Jailhouse Rock";"Elvis Presley";1957;0;0;2007-07-31;"Rock 'n Roll,Oldies,TV & movie soundtrack"
"Strangers In The Night";"Frank Sinatra";1960;0;0;2007-05-04;Oldies,Pop,Jazz
"Sex On Fire";"Kings of Leon";2008;0;0;2011-05-31;Rock,Alternative
"Locked Out Of Heaven";"Bruno Mars";2012;0;0;2012-11-16;Pop
Jolene;"Dolly Parton";1974;0;0;2011-05-31;Folk,Country
"I Gotta Feeling";"Black Eyed Peas";2009;0;0;2011-05-30;Electro,Dance
"Le Jerk";"Thierry Hazard";1990;0;0;2012-08-08;"French pop,80s"
"Ice Ice Baby";"Vanilla Ice";1990;0;0;2011-05-30;Rap
"Always On My Mind";"Willie Nelson";1982;0;0;2012-07-03;Country
"Don't Worry";Madcon;2015;0;0;2015-05-26;Pop,Dance,Electro,Rap
"Je pars (version 2011)";"Nicolas Peyrac";2011;0;0;2015-09-10;"French pop,Jazz,Latin"
"I'm Gonna Be (500 Miles)";"The Proclaimers";1988;0;0;2013-12-05;Rock
"Oops!... I Did It Again";"Scott Bradlee's Postmodern Jukebox";2015;0;0;2015-09-04;Jazz,Pop
"Les couleurs du temps";"Guy Béart";1973;0;0;2015-09-17;"French pop,TV & movie soundtrack"
"I Want To Break Free";Queen;1984;0;0;2011-05-30;Pop,Rock
"Under The Bridge";"Red Hot Chili Peppers";1991;0;0;2007-05-04;Rock,Alternative
"Magic In The Air";"Magic System";2014;0;0;2014-05-22;"Dance,French pop,Zouk/Creole"
"Proud Mary";"Creedence Clearwater Revival";1969;0;0;2007-05-04;Folk,Pop
"Come Together";"The Beatles";1969;0;0;2011-11-15;Blues,Rock
"You Can Always Come Home";"Alan Jackson";2015;0;0;2015-09-16;Country
"Need You Now";"Lady Antebellum";2009;0;0;2011-05-30;Country
"Alexandrie Alexandra";"Claude François";1978;0;0;2014-07-28;"French pop,Disco"
"Vivir mi vida";"Marc Anthony";2013;0;0;2014-05-27;Latin,Pop
"We Will Rock You";Queen;1977;0;0;2008-07-25;Rock
"J'ai encore rêvé d'elle";"Il était une fois";1975;1;0;2012-02-07;"French pop,Duet,Love"
"Don't Be Cruel";"Elvis Presley";1956;0;0;2007-08-28;Oldies,Rock
"Les sunlights des tropiques";"Gilbert Montagné";1985;0;0;2012-01-02;"French pop,80s"
"Lay Me Down";"Sam Smith";2013;0;0;2013-10-08;Pop,Dance
"Call Me Maybe";"Carly Rae Jepsen";2011;0;0;2012-06-04;"Pop,Dance,Teen pop"
"I Will Follow Him (Chariot)";"Sister Act";1992;0;0;2007-12-19;"Gospel,TV & movie soundtrack,Soul"
"Bad Moon Rising";"Creedence Clearwater Revival";1968;0;0;2007-05-04;Rock
"Wake Me Up!";Avicii;2013;0;0;2013-09-09;Dance,Electro,Folk,Soul
"You Are So Beautiful";"Joe Cocker";1972;0;0;2008-05-05;"Love,Pop,Soft rock"
Santiano;"Hugues Aufray";1961;0;0;2011-05-30;"French pop,Celtic"
"Let It Go";"James Bay";2014;0;0;2015-04-04;Pop,Rock
"Kick The Dust Up";"Luke Bryan";2015;0;0;2015-06-11;Country,Rock
"I Love This Bar";"Toby Keith";2003;0;0;2011-11-14;Country
"Ain't Nobody";"Chaka Khan";1983;0;0;2011-05-31;Pop,Soul,80s
Santeria;Sublime;1996;0;0;2011-11-28;Reggae,Rock
"Part Of Your World";"Little Mermaid";1989;0;0;0000-00-00;"TV & movie soundtrack"
"Wind Beneath My Wings";"Bette Midler";1988;0;0;2007-05-18;"Pop,TV & movie soundtrack"
"Love Me Tender";"Elvis Presley";1956;0;0;2007-05-04;Love,Oldies
"Je veux";Zaz;2010;0;0;2012-09-19;"French pop"
"He Stopped Loving Her Today";"George Jones";1980;0;0;2011-11-21;Country
"L'hymne à l'amour";"Edith Piaf";1949;0;0;2012-01-27;"French pop,Oldies"
